date,company,offer,search_index,social_mentions,website_visits,promo_spend,price_index,competitor_index,holiday_flag,demand_units,is_synthetic
2024-01-01,雜草町,手捏陶體驗,58.6,107.0,1403.0,2057.0,1.07,51.3,1,117,True
2024-02-01,雜草町,手捏陶體驗,50.3,88.0,1075.0,2284.0,0.972,42.9,1,110,True
2024-03-01,雜草町,手捏陶體驗,53.1,51.0,1275.0,1574.0,0.94,36.5,0,98,True
2024-04-01,雜草町,手捏陶體驗,49.8,101.0,1316.0,1179.0,0.944,41.0,0,107,True
2024-05-01,雜草町,手捏陶體驗,45.1,78.0,1215.0,1488.0,1.025,63.4,0,100,True
2024-06-01,雜草町,手捏陶體驗,43.7,73.0,1023.0,1484.0,1.03,48.2,0,87,True
2024-07-01,雜草町,手捏陶體驗,52.0,94.0,1512.0,2064.0,1.013,53.4,1,112,True
2024-08-01,雜草町,手捏陶體驗,61.6,92.0,1503.0,2074.0,0.911,70.9,1,119,True
2024-09-01,雜草町,手捏陶體驗,39.5,42.0,941.0,1610.0,1.011,74.1,0,88,True
2024-10-01,雜草町,手捏陶體驗,47.5,26.0,1184.0,1263.0,1.115,41.4,0,82,True
2024-11-01,雜草町,手捏陶體驗,44.0,61.0,1048.0,1889.0,1.078,39.7,0,90,True
2024-12-01,雜草町,手捏陶體驗,51.8,83.0,1171.0,2498.0,0.942,31.4,1,109,True
2025-01-01,雜草町,手捏陶體驗,52.7,75.0,1339.0,2365.0,0.999,30.9,1,108,True
2025-02-01,雜草町,手捏陶體驗,65.7,104.0,1554.0,1808.0,0.967,41.3,1,125,True
2025-03-01,雜草町,手捏陶體驗,52.5,48.0,1407.0,1455.0,0.959,65.2,0,94,True
2025-04-01,雜草町,手捏陶體驗,56.0,90.0,1438.0,1069.0,1.067,62.1,0,104,True
2025-05-01,雜草町,手捏陶體驗,57.3,62.0,1441.0,1414.0,1.055,55.0,0,87,True
2025-06-01,雜草町,手捏陶體驗,54.5,63.0,1164.0,1312.0,1.009,43.7,0,94,True
2025-07-01,雜草町,手捏陶體驗,60.4,95.0,1503.0,1657.0,0.991,29.7,1,120,True
2025-08-01,雜草町,手捏陶體驗,59.6,80.0,1305.0,1914.0,1.007,38.7,1,108,True
2025-09-01,雜草町,手捏陶體驗,51.5,37.0,959.0,1565.0,1.019,42.5,0,93,True
2025-10-01,雜草町,手捏陶體驗,41.5,41.0,958.0,1450.0,1.078,40.4,0,95,True
2025-11-01,雜草町,手捏陶體驗,45.2,57.0,995.0,1544.0,0.987,31.2,0,91,True
2025-12-01,雜草町,手捏陶體驗,56.0,56.0,1228.0,2047.0,0.972,60.6,1,97,True
2024-01-01,雜草町,羊毛氈課程,59.7,89.0,1676.0,1874.0,1.067,39.9,1,128,True
2024-02-01,雜草町,羊毛氈課程,66.4,108.0,1650.0,1895.0,1.056,60.4,1,111,True
2024-03-01,雜草町,羊毛氈課程,57.6,77.0,1355.0,1557.0,0.991,51.4,0,103,True
2024-04-01,雜草町,羊毛氈課程,49.6,75.0,1332.0,1340.0,1.052,40.2,0,97,True
2024-05-01,雜草町,羊毛氈課程,52.4,85.0,1148.0,1564.0,0.99,55.2,0,100,True
2024-06-01,雜草町,羊毛氈課程,55.4,70.0,1163.0,1872.0,0.979,58.8,0,111,True
2024-07-01,雜草町,羊毛氈課程,57.4,93.0,1475.0,1934.0,1.034,60.7,1,110,True
2024-08-01,雜草町,羊毛氈課程,51.9,84.0,1277.0,1753.0,1.019,31.3,1,111,True
2024-09-01,雜草町,羊毛氈課程,48.1,57.0,1207.0,1606.0,0.983,36.1,0,95,True
2024-10-01,雜草町,羊毛氈課程,42.0,44.0,,1726.0,1.024,44.3,0,86,True
2024-11-01,雜草町,羊毛氈課程,41.6,56.0,1089.0,1363.0,1.064,41.3,0,98,True
2024-12-01,雜草町,羊毛氈課程,74.9,88.0,1554.0,2074.0,1.056,47.3,1,129,True
2025-01-01,雜草町,羊毛氈課程,61.3,124.0,1450.0,1856.0,0.983,41.6,1,128,True
2025-02-01,雜草町,羊毛氈課程,69.9,120.0,1704.0,2199.0,1.078,56.8,1,110,True
2025-03-01,雜草町,羊毛氈課程,64.3,76.0,1390.0,1478.0,0.999,39.0,0,107,True
2025-04-01,雜草町,羊毛氈課程,68.3,91.0,1605.0,1223.0,1.031,50.3,0,115,True
2025-05-01,雜草町,羊毛氈課程,63.2,94.0,1455.0,1304.0,1.052,39.3,0,108,True
2025-06-01,雜草町,羊毛氈課程,67.4,98.0,1383.0,1455.0,1.084,47.7,0,106,True
2025-07-01,雜草町,羊毛氈課程,60.0,93.0,1427.0,2350.0,1.06,36.1,1,124,True
2025-08-01,雜草町,羊毛氈課程,63.9,104.0,1627.0,1905.0,1.045,64.1,1,116,True
2025-09-01,雜草町,羊毛氈課程,62.5,50.0,1282.0,1409.0,1.062,52.2,0,113,True
2025-10-01,雜草町,羊毛氈課程,55.6,49.0,1414.0,1782.0,1.067,33.5,0,112,True
2025-11-01,雜草町,羊毛氈課程,50.8,57.0,1161.0,1337.0,0.994,40.5,0,98,True
2025-12-01,雜草町,羊毛氈課程,64.6,76.0,1487.0,2193.0,0.997,53.0,1,126,True
2024-01-01,雜草町,金工入門,61.6,126.0,1461.0,2183.0,1.033,40.4,1,112,True
2024-02-01,雜草町,金工入門,75.2,136.0,1536.0,2234.0,1.029,40.3,1,131,True
2024-03-01,雜草町,金工入門,56.7,108.0,1359.0,1364.0,1.074,44.2,0,119,True
2024-04-01,雜草町,金工入門,70.1,103.0,1670.0,1596.0,1.11,46.7,0,125,True
2024-05-01,雜草町,金工入門,60.2,113.0,1329.0,1382.0,1.074,67.7,0,115,True
2024-06-01,雜草町,金工入門,66.0,101.0,1460.0,1755.0,1.053,43.1,0,122,True
2024-07-01,雜草町,金工入門,75.1,114.0,1939.0,2066.0,1.044,66.4,1,144,True
2024-08-01,雜草町,金工入門,73.1,108.0,1401.0,2231.0,0.998,48.5,1,123,True
2024-09-01,雜草町,金工入門,40.9,55.0,972.0,1724.0,1.127,71.5,0,101,True
2024-10-01,雜草町,金工入門,43.3,52.0,831.0,1372.0,1.071,64.2,0,89,True
2024-11-01,雜草町,金工入門,54.6,65.0,1414.0,1605.0,1.035,46.0,0,99,True
2024-12-01,雜草町,金工入門,72.5,98.0,1480.0,2174.0,1.045,46.4,1,127,True
2025-01-01,雜草町,金工入門,72.3,117.0,1738.0,2222.0,1.099,56.4,1,131,True
2025-02-01,雜草町,金工入門,77.1,114.0,1749.0,2085.0,1.117,57.6,1,131,True
2025-03-01,雜草町,金工入門,82.0,101.0,2027.0,1552.0,0.993,41.9,0,135,True
2025-04-01,雜草町,金工入門,74.6,112.0,1636.0,1468.0,1.139,31.9,0,119,True
2025-05-01,雜草町,金工入門,69.7,101.0,1620.0,1569.0,1.106,46.2,0,112,True
2025-06-01,雜草町,金工入門,68.4,105.0,1592.0,1210.0,1.015,56.7,0,125,True
2025-07-01,雜草町,金工入門,76.3,130.0,1394.0,1918.0,1.075,56.7,1,125,True
2025-08-01,雜草町,金工入門,71.6,90.0,1554.0,2133.0,1.143,61.9,1,123,True
2025-09-01,雜草町,金工入門,63.0,59.0,1293.0,1299.0,1.007,53.6,0,109,True
2025-10-01,雜草町,金工入門,66.5,44.0,1589.0,1672.0,1.072,63.0,0,111,True
2025-11-01,雜草町,金工入門,75.5,103.0,1661.0,1578.0,1.092,73.3,0,123,True
2025-12-01,雜草町,金工入門,81.4,95.0,1839.0,2126.0,1.082,65.8,1,127,True
2024-01-01,雜草町,老宅夜間工藝,76.3,99.0,1564.0,1803.0,1.128,48.6,1,123,True
2024-02-01,雜草町,老宅夜間工藝,78.2,119.0,1677.0,1884.0,1.071,23.6,1,142,True
2024-03-01,雜草町,老宅夜間工藝,65.4,126.0,1375.0,1511.0,1.126,46.2,0,117,True
2024-04-01,雜草町,老宅夜間工藝,78.4,89.0,1576.0,1704.0,1.143,34.7,0,125,True
2024-05-01,雜草町,老宅夜間工藝,56.7,102.0,1319.0,1426.0,1.034,33.3,0,121,True
2024-06-01,雜草町,老宅夜間工藝,57.9,,1521.0,1548.0,1.07,45.9,0,114,True
2024-07-01,雜草町,老宅夜間工藝,78.2,120.0,1897.0,2294.0,1.121,69.6,1,133,True
2024-08-01,雜草町,老宅夜間工藝,60.4,99.0,1524.0,2231.0,1.117,34.5,1,117,True
2024-09-01,雜草町,老宅夜間工藝,48.7,103.0,1413.0,1158.0,1.144,50.2,0,109,True
2024-10-01,雜草町,老宅夜間工藝,61.9,76.0,1464.0,1148.0,1.07,34.9,0,121,True
2024-11-01,雜草町,老宅夜間工藝,67.0,69.0,1424.0,1687.0,1.073,61.3,0,116,True
2024-12-01,雜草町,老宅夜間工藝,80.6,116.0,1797.0,2111.0,1.206,53.9,1,135,True
2025-01-01,雜草町,老宅夜間工藝,72.9,146.0,1645.0,2195.0,1.133,26.3,1,132,True
2025-02-01,雜草町,老宅夜間工藝,86.5,135.0,1958.0,1905.0,1.072,56.8,1,142,True
2025-03-01,雜草町,老宅夜間工藝,72.8,139.0,1498.0,1656.0,1.084,25.5,0,129,True
2025-04-01,雜草町,老宅夜間工藝,81.5,133.0,1676.0,1677.0,1.15,32.6,0,104,True
2025-05-01,雜草町,老宅夜間工藝,87.8,120.0,1781.0,1319.0,1.103,29.2,0,125,True
2025-06-01,雜草町,老宅夜間工藝,67.4,96.0,1477.0,1529.0,1.091,13.1,0,127,True
2025-07-01,雜草町,老宅夜間工藝,79.5,125.0,1732.0,1991.0,0.995,54.1,1,132,True
2025-08-01,雜草町,老宅夜間工藝,74.5,114.0,1600.0,1989.0,1.143,44.1,1,139,True
2025-09-01,雜草町,老宅夜間工藝,70.2,72.0,1577.0,1394.0,1.125,61.3,0,104,True
2025-10-01,雜草町,老宅夜間工藝,69.3,53.0,1446.0,1384.0,1.055,42.0,0,128,True
2025-11-01,雜草町,老宅夜間工藝,64.9,59.0,1371.0,1199.0,1.052,59.2,0,123,True
2025-12-01,雜草町,老宅夜間工藝,86.1,93.0,1762.0,1720.0,1.15,47.6,1,132,True
